t somaB.v
20001
0 -65
0.025 -64.9993
0.05 -64.9985
0.075 -64.9978
0.1 -64.9971
0.125 -64.9964
0.15 -64.9896
0.175 -64.9769
0.2 -64.9588
0.225 -64.9355
0.25 -64.9073
0.275 -64.8744
0.3 -64.8372
0.325 -64.7958
0.35 -64.7505
0.375 -64.7015
0.4 -64.6491
0.425 -64.5933
0.45 -64.5346
0.475 -64.4729
0.5 -64.4086
0.525 -64.3417
0.55 -64.2725
0.575 -64.2011
0.6 -64.1276
0.625 -64.0522
0.65 -63.9751
0.675 -63.8964
0.7 -63.8161
0.725 -63.7345
0.75 -63.6515
0.775 -63.5674
0.8 -63.4822
0.825 -63.396
0.85 -63.3089
0.875 -63.2209
0.9 -63.1323
0.925 -63.0429
0.95 -62.953
0.975 -62.8626
1 -62.7717
1.025 -62.6803
1.05 -62.5886
1.075 -62.4966
1.1 -62.4043
1.125 -62.3117
1.15 -62.2189
1.175 -62.126
1.2 -62.0329
1.225 -61.9397
1.25 -61.8464
1.275 -61.753
1.3 -61.6596
1.325 -61.5661
1.35 -61.4726
1.375 -61.379
1.4 -61.2853
1.425 -61.1917
1.45 -61.098
1.475 -61.0043
1.5 -60.9105
1.525 -60.8167
1.55 -60.7229
1.575 -60.6289
1.6 -60.5349
1.625 -60.4407
1.65 -60.3464
1.675 -60.2519
1.7 -60.1572
1.725 -60.0623
1.75 -59.9672
1.775 -59.8718
1.8 -59.7761
1.825 -59.6801
1.85 -59.5836
1.875 -59.4867
1.9 -59.3893
1.925 -59.2913
1.95 -59.1928
1.975 -59.0936
2 -58.9937
2.025 -58.893
2.05 -58.7915
2.075 -58.6891
2.1 -58.5857
2.125 -58.4812
2.15 -58.3755
2.175 -58.2686
2.2 -58.1603
2.225 -58.0505
2.25 -57.9393
2.275 -57.8263
2.3 -57.7116
2.325 -57.5949
2.35 -57.4762
2.375 -57.3551
2.4 -57.2317
2.425 -57.1057
2.45 -56.977
2.475 -56.8453
2.5 -56.7105
2.525 -56.5722
2.55 -56.4303
2.575 -56.2844
2.6 -56.1343
2.625 -55.9797
2.65 -55.8202
2.675 -55.6555
2.7 -55.485
2.725 -55.3084
2.75 -55.1251
2.775 -54.9347
2.8 -54.7365
2.825 -54.5299
2.85 -54.3141
2.875 -54.0883
2.9 -53.8517
2.925 -53.6033
2.95 -53.3419
2.975 -53.0662
3 -52.775
3.025 -52.4666
3.05 -52.1392
3.075 -51.7908
3.1 -51.4192
3.125 -51.0216
3.15 -50.5953
3.175 -50.1365
3.2 -49.6414
3.225 -49.1052
3.25 -48.5228
3.275 -47.8875
3.3 -47.1921
3.325 -46.4278
3.35 -45.584
3.375 -44.6482
3.4 -43.6057
3.425 -42.4383
3.45 -41.1245
3.475 -39.6381
3.5 -37.9475
3.525 -36.0145
3.55 -33.7934
3.575 -31.23
3.6 -28.2619
3.625 -24.8195
3.65 -20.8314
3.675 -16.2344
3.7 -10.9924
3.725 -5.12586
3.75 1.25167
3.775 7.90676
3.8 14.4926
3.825 20.6086
3.85 25.9011
3.875 30.1541
3.9 33.3238
3.925 35.5067
3.95 36.8754
3.975 37.6175
4 37.8982
4.025 37.8462
4.05 37.5542
4.075 37.0859
4.1 36.4841
4.125 35.7775
4.15 34.9855
4.175 34.1218
4.2 33.1963
